14	80016	SEWER CAP OFF				MORGAL JOHN H
15	82082	2 CIRCUITS, 25 FIXTURES, SWITCHES, RECEPTACLES, 1 DISHWASHER, 1 DISPOSAL, 1 DRYER				HOOVER ELECTRIC INC.
16	84084	SYSTEMS FURNITURE	Commercial Tenant Buildout			INNOVATIVE INSTALLATION SERVICES LLC
17	113113	DECK ADDITION TO SINGLE FAMILY RESIDENCE REMOVE PARTIAL ROOM ON HOUSE & REPLACE WITH DECK & STAIRCASE	Single Family/Duplex Addition			BIRD HOME INPROVEMENT, INC
18	114114	TRESTLETREE VILLAGE APARTMENT BLDG 875 UNITS A-D Windows, doors, roofs, toilets, HVAC, CO2 and smoke detector, stairs, railings, water supply lines to building, playground	Multi Family Alteration			ZMG CONSTRUCTION INC
19	115115	DEMO SFR Demolish single family dwelling	Building/Historical/NA/NA			YOUNG MEATHE & DERAZI
20	116116	Temp Pole - 1200 BEECH VALLEY ROAD Installation of temporary power pole for use during construction of single family residence only. Field Contact is Allen Lester 404-427-9915.	Electrical Single Family/Duplex			Wade Electric Inc
21	117117	GA REGIONAL TRANSPORTATION SUITE 400 Alter office building 4th floor significant interior remodel 18101 square feet	Building/Historical/NA/NA			VEENENDAAL CAVE
22	118118	Fire Sprinkler Permit NEW CONSTRUCTION 79438 SF THREE FLOORS APARTMENT BUILDING 85 UNITS NEW CONSTRUCTION LD-200900004 SITEWORK	Fire Sprinkler Single Family/Duplex			US SPRINKLER,INC
23	119119	380 MARIETTA ST - ELECTRICAL 380 MARIETTA ST - ELECTRICAL--REPLACE ANTENNA, RADIO CABINET WITH NEW Existin tenant T-Mobile will be replacing existing antennas, radio equuipment cabinets with new, no ground disturbance. No increace in tower height. all work performed will be containted to fenced lease area.	Electrical Commercial			TLS ELECTRICAL INC
24	120000	Lot 245 HVAC	HVAC Single Family/Duplex			SPENCE HEATING & AIR
25	120024	DEMOLISH SINGLE FAMILY RESIDENCE DEMOLISH SINGLE FAMILY RESIDENCE-1121sq.ft.	Single Family/Duplex Demolition			SOUTHERN DEMOLITION LLC
26	120120	Necular Cowboys/ Philips Temp TAP for concert 3/2- 3/3	Electrical Commercial			STEVE WOODS CONTR CO, INC
27	121121	Jernigan rewire Rewire damaged half of the duplex and build overhead service for both halves of the duplex	Electrical Single Family/Duplex			REDDEN ELECTRICAL SERVICES
28	122122	GENERAL REPAIRS Repairs to single family dwelling	Building/Historical/NA/NA			QUALITY CONSTRUCTION
29	123123	RESIDENTIAL / ELECTRICAL REPAIR ELECTRICAL SERVICE MAST RECONNECT TO HOUSE	Electrical Single Family/Duplex			POTTER ELECTRIC INC
30	124124	NURSERY ADDITIONS EXUSTUBG SUN PORCHE CONVERTED INTO NURSERY. BRICK EXTERIOR TO MATCH EXISTING BRICK.	Residential Quality Control Review			POWERHOUSE, INC
31	125125	Residential/HVAC Install new heat pump system with duct and 2 zone damper	HVAC Single Family/Duplex			OMEGA HEATING AIR CONDITION
32	126126	Regions - 9th Floor - DS11166-Q Voice and Data Cable Installation	Electrical Low Voltage Commercial			NETPLANNER SYSTEMS, INC
33	127127	TYE TILE INSTALLATION REMOVE EXISTING SLATE; REPLACE WITH PORCELAIN TILE	Multi Family Alteration			MOSAIC ARCHITECTS & REMODELERS
34	128128	PF Changes China Bistro Pull low voltage cables	Electrical Low Voltage Commercial			METROPOWER INC
35	129129	DREW CHARTER SCHOOL Electrical work-Install PVC conduit paths under building pad & footings	Electrical Commercial			LEMAY ELECTRIC INC
36	130000	Single family residence Electrical work-Carport	Electrical Single Family/Duplex			KINETIC KID ELECTRICAL SERVICES, INC
37	130026	Marta Shelter #105094 Electrical work-Disconnect/Reconnect	Electrical Commercial			KELLY THOMPSON CONSTRUCTION
38	130130	UNICEF Suite 310 Interior finish in existing commercial office space.	Electrical Commercial			KNOX ELECTRICAL CONTRACTORS, LLC
39	131131	SF-Patio/Steps-Cohen Remove existing patio and steps. Install new step and patio.	Single Family/Duplex Addition			J P LUPTON COMPANY
40	132132	ASHLEY AUBURN POINTE PHASE II BUILDING 6 ERECT 3-STORY WALK-UP APARTMENTS WITH AMENITIES. BLDG 6 -----ALL PERMIT FEES ARE ON BB-201204528	Multi Family New			IBG CONSTRUCTION SERVICES, LLC
41	133133	Ward Residence Fence repair and (add) extension	Single Family/Duplex Miscellaneous Non-Structural			HAMMER HEAD CONSTRUCTION INC
42	135135	RESIDENTIAL GENERAL REPAIR-RE ROOF RE ROOF	Single Family/Duplex Repair			FINDLAY ROOFING & CONSTRUCTION
43	136136	Mary Peek replace furnace and heat pump	HVAC Single Family/Duplex			ESTES HEATING & AIR
44	137137	GEORGIA AUTO PAWN, INC. Interior demolition, interior buildout, install drywall, carpet, counters, trim, interior/exterior paint.	Commercial Alteration			D D CONSTRUCTION COMPANY
45	138138	3400 WOODDALE DR - PLUMBING 3400 WOODDALE DR - PLUMBING TENANT FINISH	Plumbing Commercial			COMMERCIAL PLUMBING, INC
46	140000	942 Boulevard Upgrade Service and breaker panel to 200 amp.	Electrical Single Family/Duplex			BLUE BOLT ELECTRICAL, LLC
47	140028	3897 Rux Road SW Atlanta REplace Gas Water heater	Plumbing Single Family/Duplex			BYNUM & SONS PLUMBING
48	140140	METRO FITNESS-BOWLING ALLEY-REVISIONS Alterations to amusement/recreation building- INSTALL BOWLING ALLEY W/KITCHEN-supplement BB200607094 for revisionsTHIS LOCATION IS NOT APPROVED FOR ADULT BUSINESS	Building/Historical/NA/NA			NODUS LLC ARCHITECTURE
49	141141	GENERAL REPAIR - WEB PERMIT REPAIRS TO SINGLE FAMILY DWELLING IF YOU ARE AN APPLICANT OTHER THAN THE OWNER, YOUR INFORMATION MUST BE ENTERED HERE: NAME OF APPLICANT:DAVID G. MASON TELEPHONE NUMBER: 404-352-9000	Building/Historical/NA/NA			ATLANTA RESTORATION & CONTRACT
50	142142	903 BERNINA #905 Repair mix-used structure. Interior renovations iof a live-in unit ncluding replace membrane roof, bedroom and bathroom renovations. 1100 sq ft	Building/Historical/NA/NA			ANTHONY AMES
51	143143	Wet Seal - Lenox Square Mall interior remodel 4981 sf	Commercial Alteration			AMERICAN GARAGE
52	144144	RESIDENTIAL ADDITION - RAAC 2ND STORY ADDITION (ADD 2 CAR GARAGE AND MASTER BEDROOM ABOVE, REMODEL TO MASTER BATH AND KITCHEN) RAAC	Single Family/Duplex Addition			A & G HOMES
53	145145	MARSHALLS WALL SIGNS	Sign Business			ANCHOR SIGN INC
54	146146	Troutman Sanders, LLP Ste 4200 Add/relocate Fire Sprinklers for Tenant Remodel	Fire Sprinkler Commercial			ALLIANCE FIRE PROTECTION
55	147147	YOUNG RESIDENCE YOUNG RESIDENCE / ADD CEILING FAN PREWIRE AND MOTION DETECTOR LIGHT AT BACK PATIO	Residential Miscellaneous			MR ELECTRIC
56	148148	RITZ CARLTON HOTEL LOW VOLTAGE INCLUDES FIRE ALARM AND CABLING	Electrical Low Voltage Commercial			ALLISON SMITH COMPANY
57	149149	Astra Group Inc/Suite 1170 Electrical work-Atlantic Station &quot;Tennis Facilities&quot; build-out/(30) 30A branch circuits./Suite 1170	Electrical Commercial			ACE ELECTRICAL SERVICES
58	150000	COOPER CAR WASH CHANDLER BLVD & KYRENE COOPER CAR WASH / REPLACE BACKFLOW DEVICE THAT WAS STOLEN	Encroachment Class 8			CRYSTAL CLEAR PLUMBING, LLC
59	150030	MCLEAN RESIDENCE MCLEAN RES/REPLACE EXISTING WATER-HEATER (NATURAL GAS) 50 GAL FOR 50 GAL LIKE FOR LIKE. ALL WORK SUBJECT TO FIELD INSPECTION. ANY MODIFICATION NECESSARY FOR CODE COMPLIANCE WILL BE AT OWNER'S EXPENSE.	Residential Miscellaneous			R & R INSTALLATION LLC
60	150150	HUBBELL HUBBELL / EXCHANGE OF EXISTING GAS WATER HEATER, 50 GAL FOR 50 GAL ALL WORK SUBJECT TO FIELD INSPECTIONS, ANY CHANGES NECESSARY FOR CODE COMPLIANCE WILL BE AT OWNERS EXPENSE	Residential Miscellaneous			R & R INSTALLATION LLC
61	151151	INTERNATIONAL RECTIFIERS INTERNATIONAL RECTIFIER / INSTALL FIRE SPRINKLERS ON EXISTING SYSTEM.	Commercial-Tenant Improvement-Regular			COMPLETE FIRE PROTECTION INC
62	152152	Fresh To Order Add and remove fire alarm devices	Electrical Low Voltage Commercial			AFA PROTECTIVE SYSTEMS
63	153153	Highland Park Lot 15 House Highland Park Lot 15 House	Electrical Single Family/Duplex			ATLANTA LANEHART ELECTRIC, INC
64	154154	SUN GROVES PARCEL 3 LOT-110 BLANDFORD HOMES SFS10-0026 / STD PLAN 383 / 2-STORY HOME / ELEVATION B	Residential Single Family			MBI BUILDERS LLC
65	156156	ARTESIAN RANCH C CURTIS CONSTRUCTION SFS10-0008 / STD PLAN 2706 / 1-STORY HOME / ELEVATION C	Residential Single Family			C CURTIS CONSTRUCTION INC
66	158158	GARMIN EXPANSION T.I. GARMIN EXPANSION T.I. / TIE IN OF NEW DEVICES TO EXIST'G FIRE ALARM	Commercial-Tenant Improvement-Regular			FIRETROL PROTECTION SYSTEMS INC
67	158930	WATERS AT OCOTILLO PARCELS 1 & 4 WATERS @ OCOTILLO PARCELS 1 & 4 / CIVIL IMPROVEMENT PLAN	Commercial On Site			PULTE DEVELOPMENT CORP
68	158937	HAMILTON HEIGHTS / SITE WALLS S ARIZONA AVE & W QUEEN CREEK RD SWC HAMILTON HEIGHTS / SITE WALLS (THEME, VIEW, DOOLEY, LOW WALL) AND ENTRY MONUMENT (NO SIGNAGE)	Wall-Site			PULTE DEVELOPMENT CORP
69	159159	MILLER RESIDENCE MILLER RESIDENCE / INSTALLATION OF A WATER SOFTENER AND LOOP ALL WORK SUBJECT TO FIELD INSPECTIONS, ANY CHANGES NECESSARY FOR CODE COMPLIANCE WILL BE AT OWNERS EXPENSE.	Residential Miscellaneous			AMERIFLOW WATER SYSTEMS, INC
70	159991	WINDWARD CAMELOT HOMES / STD PLAN 55-13 / ELEVATION B, (EXTEND PATIO 1, BONUS ROOM)	Residential Single Family			CAMELOT HOMES
71	160000	STARBUCKS COFFEE STARBUCKS COFFEE / ADD 21 FIRE SPRINKLER HEADS.	Commercial-Tenant Improvement-Regular			PRO FIRE PROTECTION
72	160050	CITY OF CHANDLER SITE DESIGN AND CONSTRUCTION PROJECT (CHANDLER EOC)	Residential Miscellaneous			PATRIOT TOWERS INC
73	160160	336 N COLORADO ST UNIT A 336 N COLORADO ST UNIT A/ ELECTRIC CLEARANCE ENERGIZE PANEL	Residential Miscellaneous			DINO CONTRACTING
74	161161	UNISOURCE GLOBAL SOLUTIONS UNISOURCE GLOBAL SOLUTIONS / ELECTRICAL EQUIPMENT HOOK-UP	Commercial-Tenant Improvement-Regular			BJERK BUILDERS INC
75	162162	STONEFIELD LUXURY APARTMENTS STONEFIELD LUXURY APARTMENTS / REVISION TO CMN12-0023/ MODIFICATIONS TO CONSTRUCTION SITE TO BE APPROVED. (CIVIL BASE)	DevServices/Revision/Commercial/New Building			MT BUILDERS LLC
76	163163	ALTER 2-STORY FRAME,1-FAMILY DWELLING TO REPAIR/REPLACE PART OF BASEMENT WALL REPAIR FOUNDATION WALL. REPLACE 10-12' OF FOUNDATION IN THE SOUTHEAST CORNER OF PROPERTY	Building/Residential/Major Alteration/Interior Renovation			Z-MAN CONSTRUCTION
77	164164	1350 N HIGH STREET RELOCATION OF CASH REGISTERS, COIN STAR, AND ICE. RELOCATE PRIMO WATER, EXISTING CIRCUITS. OK FOR (1 HR TRIP) NO BP/PLANS REQUIRED PER S.C.	Building/Commercial/Repair Replace/Electrical			X F ELECTRICAL CONTRACTORS INC
78	165165	80 NORTH 4TH ST PHASE 3 OF THREE PHASES: REMAINDER OF THE CONSTRUCTION OF A FIVE LEVEL PUBLIC PARKING GARAGE.PHASE 3 OF THREE: WORK INCLUDES REMAINDER OF THE CONSTRUCTION OF A FIVE LEVEL PUBLIC PARKING GARAGE CBLD0901578 NEW BUILD-HVAC-PROVIDE AND INSTALL EXHAUST PIPING FOR GENERATOR (PROVIDED BY OTHERS). PROVIDE AND INSTALL EXHAUST FAN/EXHAUST DUCT, WALL MOUNT ELECTRIC CABINET UNIT HEATERS, A PACKAGE TERMINAL HEAT PUMP AND A DUCTLESS SPLIT SYSTEM 9HEAT PUMP SYSTEM WITH ELECTRIC BACK UP HEATER). CODE: (2007 OBC ) TYPE (II-B (602.2)) USE (A-3 (303.1) ) DESIGN OCCUPANT LOAD: 1011 CERTIFICATE OF OCCUPANCY :(NEW BUILDING) ( ) ( ) ( ) CONDITIONS, LIMITATIONS, VARIANCES AND SPECIAL STIPULATIONS OF THE OCCUPANCY: REFER TO ATTACHED EMAIL FROM ARCHITECT DATED FEB 18, 2009. FIRE SUPPRESSION SYSTEMS: SPRINKLER SYSTEM: NONE HAZARD CLASS: NOT APPLICABLE RISER DEMAND: NOT APPLICABLE STANDPIPE SYSTEM: REQUIRED ALTERNATIVE SYSTEM: NONE FIRE ALARM SYSTEM: NONE STORAGE: NOT APPLICABLE COMMODITY CLASS: DESCRIPTION: AISLE WIDTH: MAXIMUM HEIGHT STORAGE: LIVE LOAD: NOT APPLICABLE	Building/Commercial/New Construction/Environmental Air			VAUGHN INDUSTRIES LLC
79	166166	9250 PRESTWICK GREEN DR REPLACES EXPIRED PERMIT DECK1030270 - (1) INSPECTION FOR FINAL PER T. KOLLER DECK1030270 - ALTER A 1 STORY, SINGLE FAM DWG, BY ADDING A DECK 14FT ON THE REAR OF THE HOUSE	Building/Residential/Minor Alteration/Deck			ULTIMATE CONCEPTS LLC
80	167167	1032 E 17TH AVE Alter existing dwelling building to remove existing shingle roof to deck and replace with new felt underlayment, ice barrier membrane at eave, necessary flashings, and new asphalt shingles. Work to comply with RCO 905.2. MLS	Building/Residential/Minor Alteration/Re-Roofing			TOP CHOICE ROOFING INC
81	168168	REPLACE 2 TON AC	HVAC Permit			SEARS HEATING COMPANY INC
82	169169	119 AMAZON PLACE LOT 143 ALTER EXISTING DWELLING BUILDING TO REMOVE EXISTING 16 WINDOW(S), 0 DOORS AND REPLACE WITH NEW. WORK TO COMPLY WITH RCO612, RCO 308, AND RCO 113.6.1 MLS	Building/Residential/Minor Alteration/Window Replacement			ROSATI WINDOWS
83	170000	1314 PRESIDENTIAL DRIVE INTR1235813 CORRECT CODE VIOLATIONS PER CITY OF COLUMBUS SRTS1201343 (PER SAM 1 INSPEC)	Building/Commercial/Repair Replace/Electrical			QUALITY ELECTRIC INC
84	170034	4265 SAWYER RD INSTALLATION OF ADA POOL LIFT ELECTRIC PERMIT REQUIRED	Building/Commercial/Major Alteration/Interior Renovation			QUALITY SWIMMING POOLS INC
85	170170	87 E TORRENCE RD RESIDENTIAL SF RBLD1310945 - INSTALL LIGHTING AND ELEC OUTLETS IN FINISHED BASEMENT	Building/Residential/Major Alteration/Electrical			Columbus CSD
86	172172	ALTER EXISTING DWELLING BUILDING TO REMOVE EXISTING SHINGLE ROOF TO DECK AND REPLACE WITH NEW FELT UNDERLAYMENT ICE BARRIER MEMBRANE AT EAVE NECESSARY FLASHINGS, AND NEW ASPHALT SHINGLES. WORK TO COMPLY WITH RCO 905.2 248 E LANE AVE	Building/Residential/Minor Alteration/Re-Roofing			OHIO EXTERIORS & INTERIORS LLC
87	173173	2753 SUSSEX PLACE DRIVE / #120 SUSSEX PLACE NEW CONSTRUCTION OF 1716 SQ FT SINGLE FAMILY DWELLING Build 2 Story Frame, 1 Family Dwelling, with Full Slab, 2 Car Attached Garage, 2.5 Bathrooms, 3 Bedrooms, . Code: (2013 RESIDENTIAL CODE OF OHIO) Type (NOT APPLICABLE) Use (1,2,3 FAMILY) Conditions, Limitations, Variances and Special Stipulations of the Occupancy: The efficiency certificate shall be attached permanently to the front of the panel prior to final structural inspection per RCO 1101.8. Approved documents are required onsite for all M/E/P inspections Fire Alarm System: SMOKE ALARM - CARBON MONIXIDE	Building/Residential/New Construction/Structure			MARONDA HOMES INC OF OHIO
88	174174	1931 RIDGEBURY DR HILLIARD VILLAGE CONDO Alter existing dwelling building to remove 1 Patio door(s) and replace with new. Work to comply with RCO 613, RCO 308, and RCO 115.6.	Building/Residential/Minor Alteration/Window Replacement			LARMCO WINDOWS INC
89	176176	215 N FRONT ST INTR1307390 HVAC ALTERATIONS TO LOWER LEVEL FOR LACTATION ROOM	Building/Commercial/Major Alteration/Environmental Air			JULIAN SPEER COMPANY
90	177177	6318 HOFFMAN TRACE DRIVE, LOT#350 LAKES @ TAYLOR STATION WATERFORD PARK RUN DWV AND WATER LINES TO ALL FIXTURES RBLD1300132	Building/Residential/New Construction/Plumbing			H & M PLUMBING COMPANY
91	178178	3118 S. EASTHAVEN - 1 FAM DWELL INSTALL NEW WATER SUBMETER	Plumbing (non Water Heater)			GUARDIAN WATER & POWER INC
92	179179	250 E BROAD STREET - 6th FLOOR INTR1303575 - TENANT IMPROVEMENT TO AC SHEETMETAL DUCTWORK VAV BOXES FAN COIL UNITS (2) CHILLED WATER PIPING ON 6TH FLOOR PER DRAWINGS	Building/Commercial/Major Alteration/Environmental Air			FARBER CORPORATION
93	180000	160-162 WEST PARK AVE ALTER EXISTING DWELLING BUILDING TO REMOVE EXISTING SHINGLE ROOF TO DECK AND REPLACE WITH NEW FELT UNDERLAYMENT, ICE BARRIER MEMBRANE AT EAVE, NECESSARY FLASHINGS, AND NEW ASPHALT SHINGLES. WORK TO COMPLY WITH RCO 905.2. MLS	Building/Residential/Minor Alteration/Re-Roofing			EGNER CONSTRUCTION
94	180036	2052 WAYMONT RD ALTER 1 FAM DWG EXISTING BUILDING TO REMOVE EXISTING _0_ WINDOW(S) _1__ DOOR(S) AND REPLACE WITH NEW. WORK TO COMPLY WITH RCO613, RCI 308, AND RCO 115.6	Building/Residential/Minor Alteration/Window Replacement			EVANS GAVIN
95	180180	2522 MALLARDS LANDING/SRTS1300069 BUILDING PERMIT TO REMODEL THE INTERIOR AND REPAIR PLUMBINGM ELECTRICAL AND HVAC SYSTEMS IN UNIT 2522 IN AN EXISTING (8) UNIT MULIT-FAMILY BUILDING. DRAWINGS AND SPECS PROVIDED. ROUGH, INSULATION AND FINAL STRUCTURAL INSPECTIONS WILL BE REQUIRED TO COMPLETE THIS PERMIT. SEPARATE TRADE PERMITS WILL BE REQUIRED FOR ASSOCIATED ELECTRICAL AND PLUMBING WORK. CONSTRUCTION TYPE: VB, USE GROUP: R-3	Building/Multi Family/Major Alteration/Fire Damage			DOMAIN BUILDING CONCEPTS LLC
96	181181	4062 GRAMERCY ST (RUSTY BUCKET) BUILDING 5, UNIT 532 FABRICATE AND INSTALL 1 ILLUMINATED 9SF SINGLE FACE BLASTED HDU SIGN ON THE NORTH FIREPLACE BUILDING ELEVATION TO READ &quot;RUSTY BUCKET RESTAURANT AND TAVERN&quot; HOOK-UP TO SUPPLIED ELEC NOTE: ATTACHEMENT ENGINEERING TO FOLLOW IF REQUIRED - SIGN G PER GRAPHICS PLAN 2320-0744.	Building/Graphics Building Projecting/Illuminated/NA			COLUMBUS SIGN COMPANY
97	182182	5385 NEW ALBANY RD. 157 SPRINKLERS. REFERENCE BLDG PERMIT #CBLD1111754. INSTALL SPRINKLER SYSTEM IN NEW AUTO REPAIR/RETAIL TIRE STORE INCLUDING ORDINARY II (SERVICE BAYS), ESFR K-25 @ 15PSI (TIRE STORAGE ROOM), AND DRY SYSTEM IN ATTIC. RISER DEMAND: 532GPM @65PSI (SERVICE BAYS), 1224GPM @ 48PSI (TIRE STORAGE ROOM). FIRESTONE AUTO CARE.	Building/Commercial/New Construction/Fire Suppression			BRIGADE FIRE PROTECTION SYSTEMS
98	183183	5353- 5357 PORTLAND ST NORTH HAMPTON VILLAGE BUILDING PERMIT TO REMOVE EXISTING ROOFING TO DECK AND INSTALL NEW ASPHALT ROOFING, FELT , ICE GUARD, FLASHINGS ON AN EXISTING 2 STORY MULTI-FAMILY BUILDING. SPECS PROVIDED. A FINAL STRUCTURAL INSPECTION WILL BE REQUIRED TO COMPLETE THIS PERMIT.	Building/Multi Family/Minor Alteration/Re-Roofing			BIG WALNUT ROOFING COMPANY INC
99	184184	REPLACE FURNACE & A/C	HVAC Permit			BUCKEYE HEATING & COOLING SERVICES INC
100	185185	1420 E DUBLIN-GRANVILLE RD ALTER A SINGLE FAM DWG TO REMOVE EXISTING SHINGLE ROOF TO DECK AND REPLACE WITH NEW FELT UNDERLAYMENT, ICE BARRIER MEMBRANE AT EAVE, NECESSARY FLASHINGS, NEW ASPHALT SHINGLES. WORK TO COMPLY WITH RCO 905.2 FINAL INSPECTION REQUIRED	Building/Residential/Minor Alteration/Re-Roofing			BUCKEYE ROOFING & RESTORATION
101	186186	150 TAYLOR STATION RD INTR1202919 TENANT IMPROVEMENT LIGHTS RECEPTACLES SWITCHES 125 LIGHT FIXTURES 43 SWITCHES 62 RECEPTACLES 230 ITEMS	Building/Commercial/Major Alteration/Electrical			ABSOLUTE CARPENTRY & DRYWALL CO LTD
102	187187	1240 BENCHMARK PARK DR CBLD1133683 INSTALLATION OF ONE 5 TON HEAT PUMP ONE 1 1/2 TON HEAT PUMP 3 EXHAUST FANS	Building/Commercial/New Construction/Environmental Air			ROBERT DAVID CORNER
103	188188	3442 S HAMILTON ROAD 1 HEAT/SMOKE DETECTOR REPLACE DEFECTIVE FIRE ALARM COMMUNICATOR PANEL FOR BARRISTERS.	Building/Commercial/Addition/Fire Alarm			ADT SECURITY SERVICES INC
104	189189	PLAN APPROVAL: FINAL NOTES / COMMENTS / CONDITIONS OF THE PLAN APPROVAL: NONE PLAN APPROVAL EXCLUSIONS: NONE REVIEWED FOR COMPLIANCE UNDER: 2011 OBC AND ICC/ANSI A117.1-2009 USE / OCCUPANCY GROUP: USE GROUP:BUSINESS/FACTORY &#191; B (304.1)/ F-2 (306.3)/ S-1 (311.2) CONSTRUCTION TYPE: IIB DESCRIPTION OF THE WORK: INTERIOR RENOVATIONS AT A ONE (1) STORY, MASONRY/STEEL,UNLIMITED AREA, FIRE ALARMED, FULLY SPRINKLERED, OFFICE/WAREHOUSE/FACTORY USE BUILDING FOR NEW OFFICE SPACE AND A COPY ROOM. CONDITIONS, LIMITATIONS, VARIANCES AND SPECIAL STIPULATIONS OF THE OCCUPANCY: NONE DESIGN OCCUPANT LOAD: 55 MAXIMUM CAPACITY CARD NOT REQUIRED FIRE SUPPRESSION SYSTEMS: REQUIRED SPRINKLER SYSTEM: EXISTING MODIFIED - NFPA13 RISER DEMAND(GPM): STANDPIPE SYSTEM: ALTERNATIVE SYSTEM: FIRE ALARM SYSTEM: EXISTING MODIFIED STORAGE: NOT APPLICABLE COMMODITY CLASS: DESCRIPTION: AISLE WIDTH: MAXIMUM HEIGHT: RECORD / HISTORY:	Building/Commercial/Major Alteration/Interior Renovation			ALL CITY COMMERCIAL INTERIORS
105	190000	Replace Furnace	HVAC Permit			ATLAS CAPITAL SERVICES INC
106	190038	5211 GILLETTE AVE ALTER EXISTING DWELLING BUILDING TO REMOVE EXISTING EXTERIOR WALL COVERING SYSTEM AND REPLACE WITH NEW EXTERIOR SIDING. WORK TO COMPLY WITH RCO 703 MLS	Building/Residential/Minor Alteration/Siding			ABLE ROOFING
107	190190	RESIDENTIAL Alter existing dwelling building to remove existing shingle roof to deck and replace with new felt underlayment, ice barrier membrane at eave, necessary flashings, and new asphalt shingles. Work to comply with RCO 905.2. 53 N TERRACE AVE	Building/Residential/Minor Alteration/Re-Roofing			ARROW ROOFING INC
108	191191	Install flue liner kit	HVAC Permit			AIRWAYS HEATING & COOLING LLC
109	192192	Replace furnace and associated gas piping. Install chimney liner kit.	HVAC Permit			AIRWAYS HEATING & COOLING LLC
110	193193	1430 GARY GANUE DRIVE - VILLAGE AT HILLIARD RUN, LOT 38 NEW PLUMBING CONSTRUCTION IN 2,869 SQ FT SINGLE FAMILY DWELLING RBLD1310178	Building/Residential/New Construction/Plumbing			A-1 ADVANCED PLUMBING INC
111	195195	ALTER EXISTING DWELLING BUILDING TO REMOVE EXISTING SHINGLE ROOF TO DECK AND REPLACE WITH NEW FELT UNDERLAYMENT, ICE BARRIER MEMBRANE AT EAVE, NECESSARY FLASHINGS, AND NEW ASPHALT SHINGLES. WORK TO COMPLY WITH RCO 905.2 1157 ARKWOOD AVENUE	Building/Residential/Minor Alteration/Re-Roofing			123 EXTERIORS OHIO INC
112	196196	2005-GAS TEST		(B) Alteration	INDUSTRIAL (INSIDE) FOR LIGHT MANUFACTURING	PRO BOWL PLUMBING
113	197197	1115-INTERIOR REMODEL ONLY		(B) Alteration	OFFICE BUILDING	KATY VENTURE
114	198198	NEW COMMERICAL PARKING LOT		(A) New Construction	COMMERCIAL PARKING LOT OR GARAGE	MASTERPLAN CONSULTANTS
115	199199	ACCESS CONTROL		(B) Alteration	OFFICE BUILDING	TEMSCO INC
116	200000	removed south water heater & install new water heater		(B) Alteration	RESTAURANT WITHOUT DRIVE-IN SERVICE	M & W BIO INC
117	200040	1103-INSTALL CITY WALK ONLY		(B) Alteration	SINGLE FAMILY DWELLING	J. B. J. CONSTRUCTION
118	200200	4002-REPLACE OR MODIFY EXISTING HVAC		(B) Renovation	MULTI-FAMILY DWELLING	COMFORT EXPERTS INC
119	201201	1115-INTERIOR REMODEL ONLY		(B) Alteration	OFFICE BUILDING	COVENANT CONSTRUCTION
120	202202	3009-ELECTRICAL REMODEL		(B) Alteration	SINGLE FAMILY DWELLING	A-1 ABILITY ELECTRIC
121	203203	2001-REMODEL EXISTING PLUMBING		(B) Renovation	SINGLE FAMILY DWELLING	M-F PLUMBING CO.
122	204204	3001-ELECTRICAL REPAIRS		(B) Renovation	SINGLE FAMILY DWELLING	ELECTRA PLUS
123	205205	INTERIOR REMOFDEL 11 TH FLOOR		(B) Renovation	OFFICE BUILDING	CME BUILDERS & ENGINEERS, INC.
